INITIATIVE_NAME,SURVEY_NAME,SITE_NAME,SITE_COUNTRY,SITE_REGION,SITE_PRODUCT,GROUP_NAME,SUB_GROUP,VALUE_CHAIN,PRODUCT,COUNTRY,ENTITY,PLANT,EFFECTIVE_YEAR,CATEGORY,QUESTION,ANSWER,SCORE,TOTAL_SCORE_BY_INITIATIVES,CLASSIFICATION_LEVEL,PROVIDENCE_AND_EVIDENCE,VERIFICATION_STATUS,ASSURANCE_STATUS,NOTES,QUESTION_INSTRUCTIONS
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Healthy Food at Work,Which of these statements best fits the proximity of the healthy food at work programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a9d/679084b89eb0bd5ed1b75d04,created,,{},
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Healthy Food at Work,Do you have indicators to measure the progress or impact of this programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618aa9/679084b89eb0bd5ed1b75d08,created,,{},
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Healthy Food at Work,"If applicable, which of the following best describes the level at which you measure your programme?","None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a3c/679084b89eb0bd5ed1b75d0c,created,,{},
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Healthy Food at Work,To what extent is your programme integrated into the workplace or organisation policy?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618a49/679084b89eb0bd5ed1b75d10,created,,{},
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Breastfeeding Support,Which of these statements best describes the breaks allocated to workers as part of the breastfeeding support programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618ab5/679084b89eb0bd5ed1b75d14,created,,{},
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Breastfeeding Support,Which of these statements best describes the space(s) available to workers as part of the breastfeeding support programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618ae5/679084b89eb0bd5ed1b75d18,created,,{},
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Breastfeeding Support,Which of these statements best describes your maternity leave available to workers in this location as part of the breastfeeding support programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618af1/679084b89eb0bd5ed1b75d1c,created,,{},
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Breastfeeding Support,Which of these statements best describes your parental leave available to workers in this location as part of the breastfeeding support programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618afd/679084b89eb0bd5ed1b75d20,created,,{},
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Breastfeeding Support,Which of these statements best describes your non-dismissal policy applicable to workers in this location as part of the breastfeeding support programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618b09/679084b89eb0bd5ed1b75d24,created,,{},
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Breastfeeding Support,Which of these statements best describes the extent to which the workers are engaged in the breastfeeding support programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618b15/679084b89eb0bd5ed1b75d28,created,,{},
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Breastfeeding Support,To what percentage of your workforce is the workplace breastfeeding support programme available to?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618b21/679084b89eb0bd5ed1b75d2c,created,,{},
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Breastfeeding Support,To what percentage of your workforce is the aforementioned maternity and parental leave policy available to?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618b2d/679084b89eb0bd5ed1b75d30,created,,{},
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Breastfeeding Support,Which of these statements best describes the proximity of the breastfeeding support spaces available to the workforce?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618b39/679084b89eb0bd5ed1b75d34,created,,{},
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Breastfeeding Support,Do you have indicators to measure the progress or impact of this programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618ac1/679084b89eb0bd5ed1b75d38,created,,{},
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Breastfeeding Support,"If applicable, which of the following best describes the level at which you measure your programme?","None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618acd/679084b89eb0bd5ed1b75d3c,created,,{},
Olam International DMCC,2024 Workforce Nutrition,Dubai office,Dubai,United Arab Emirates,Admin office,Olam Group,Olam Global Agri,,All Products,UAE,Olam International DMCC,,2024,Breastfeeding Support,To what extent is your programme integrated into the workplace or organisation policy?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29954e2c09700ab618ad9/679084b89eb0bd5ed1b75d40,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Custom Metric,Workforce Nutrition Expenses,None,,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/6715f40ce12cabd795797e65/6790863be3d19163ab9d6b22,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Custom Metric,Workforce Strength,None,,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/672c77d19558051bacde2363/6790863ce3d19163ab9d6b26,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Education,Which of these statements best describes your nutrition education programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618962/6790863ce3d19163ab9d6b2a,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Education,Which of these statements bests describes how your educational material is developed or used?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab61896e/6790863ce3d19163ab9d6b2e,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Education,To what percentage of your workforce is the programme available to?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab61897a/6790863ce3d19163ab9d6b32,created,,{},
Olam Shanghai Limited,2024 Workforce Nutrition,Shanghai office,China,Asia,"Trading office (Palm, Rice, Rubber, Cotton)",Olam Group,Olam Global Agri,,All Products,China,Olam Shanghai Limited,,2024,Nutrition Education,Which of these statements best describes the affordability to workers of the programme?,"None of the above, not applicable or data unavailable",0,0,BEGINNER,https://singapore.g17.eco/universal-tracker-provenance/66f29953e2c09700ab618986/6790863ce3d19163ab9d6b36,created,,{},
